Category,Message
ham,sun ah thk mayb can if dun have anythin on thk have to book e lesson e pilates is at orchard mrt u noe hor  
ham,in which place do you want da
ham,i noe la u wana pei bf oso rite k lor other days den
ham,how much are we getting
ham,want to finally have lunch today
spam,urgent your mobile number has been awarded with a  prize guaranteed call  from land line claim  valid hrs only
ham,but i have to i like to have love and arrange
ham,enjoy urself tmr
ham,how are you babes hope your doing ok i had a shit nights sleep i fell asleep at im knackered and im dreading work tonight what are thou upto tonight x
spam,hot live fantasies call now  just p per min ntt ltd po box  croydon cr wb  is a national rate call
ham,how come she can get it should b quite diff to guess rite
ham,no nothis is kallis home groundamla home town is durban
ham,he also knows about lunch menu only da  i know
ham,hey i will be really pretty late you want to go for the lesson first i will join you im only reaching tp mrt
ham,dont search love let love find u thats why its called falling in love bcoz u dont force yourself u just fall and u know there is smeone to hold u bslvyl
ham,no its not specialisation can work but its slave labor will look for it this month sha cos no shakara  beggar
ham,sorry ill call later
ham,alright omw gotta change my order to a halfth
ham,so anyways you can just go to your gym or whatever my love smiles i hope your ok and having a good day babe  i miss you so much already
spam,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or  to claim txt dis to  morefrmmob shracomorsglsuplt ls aj
ham,huh so early then _ having dinner outside izzit
spam,urgent we are trying to contact u todays draw shows that you have won a  prize guaranteed call  from land line claim  valid hrs only
ham,jus finish bathing
spam,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged
ham,did u find out what time the bus is at coz i need to sort some stuff out
ham,lol that would be awesome payback
ham,as per your request maangalyam alaipayuthe has been set as your callertune for all callers press  to copy your friends callertune
ham,went fast asleep deartake care
ham,apart from the one i told you about yesterday
ham,nobut heard abt tat
ham,"beautiful truth against gravity read carefully \our heart feels light when someone is in it but it feels very heavy when someone leaves it\"" goodmorning"""
ham,reason is if the team budget is available at last they buy the unsold players for at base rate
spam,ur balance is now  next question complete the landmark big a bob b barry or c ben  text a b or c to  good luck
ham,at bruce b downs amp fletcher now
spam,goldviking m is inviting you to be his friend reply yes or no see him wwwsmsacugoldviking stop send stop frnd to 
ham,hi wlcome back did wonder if you got eaten by a lion or something nothing much
ham,"storming msg wen u lift d phne u say \hello\"" do u knw wt is d real meaning of hello    its d name of a girl    yes and u knw who is dat girl \""margaret hello\"" she is d girlfrnd f grahmbell who invnted telphone     moralone can get d name of a person"
ham,shes fine good to hear from you how are you my dear happy new year oh
ham,armand says get your ass over to epsilon
ham,i met you as a stranger and choose you as my friend as long as the world stands our friendship never ends lets be friends forever gud nitz
ham,nice waitshould you be texting right now im not gonna pay your ticket ya know
ham,jane babes not goin  wrk feel ill after lst nite foned in already cover  me chuck
spam,free top ringtone sub to weekly ringtoneget st week freesend subpoly to  per weekstop sms
ham,i guess you could be as good an excuse as any lol
ham,youll never believe this but i have actually got off at taunton wow
spam,buy space invaders  a chance  win orig arcade game console press  for games arcade std wap charge see ocoukgames  terms  settings no purchase
ham,never blame a day in ur life good days give u happiness bad days give u experience both are essential in life all are gods blessings good morning
ham,i have no money  steve mate 
ham,cool ill text you in a few
ham,jay wants to work out first hows  sound
ham,i can call in  ltgt  min if thats ok
ham,yup i thk so until e shop closes lor
spam,ou are guaranteed the latest nokia phone a gb ipod mp player or a  prize txt word collect to no  ibhltd ldnwh pmtmsgrcvd
ham,is ur lecture over
ham,kkim going to tirunelvali this week to see my uncle i already spend the amount by taking dress so only i want moneyi will give it on feb 
ham,horrible u eat macs eat until u forgot abt me already rite u take so long  reply i thk its more toot than b so b prepared now wat shall i eat
ham,he like not v shock leh cos telling shuhui is like telling leona also like dat almost all know liao he got ask me abt ur reaction lor
ham,hope things went well at doctors  reminds me i still need godid u c d little thing i left in the lounge
ham,o shore are you takin the bus
spam,as one of our registered subscribers u can enter the draw  a  gb gift voucher by replying with enter to unsubscribe text stop
ham,are you up for the challenge i know i am 
ham,eh ur laptop got no stock lei he say mon muz come again to take a look c got a not
ham,do u hav any frnd by name ashwini in ur college
ham,want to send me a virtual hug i need one
ham,jus finish my lunch on my way home lor i tot u dun wan  stay in sch today
ham,lol i have to take it member how i said my aunt flow didnt visit for  months its cause i developed ovarian cysts bc is the only way to shrink them
ham,sorry ill call later ok bye
spam,great new offer  double mins  double txt on best orange tariffs and get latest camera phones  free call mobileupd free on  now or stoptxt tcs
ham,i said its okay sorry
ham,by the way rencontre is to meet again mountains dont
ham,haha awesome ive been to u a couple times who alls coming
ham,i like dis sweater fr mango but no more my size already so irritating
ham,so gd got free ice cream i oso wan
ham,im not coming over do whatever you want
ham,can dunno wat to get  her
spam,text pass to  to collect your polyphonic ringtones normal gprs charges apply only enjoy your tones
ham,r we going with the  ltgt  bus
ham,should i send you naughty pix 
ham,i called and said all to himthen he have to choose this future
ham,ok im waliking ard now do u wan me  buy anything go ur house
ham,thats good because i need drugs
ham,aww thats the first time u said u missed me without asking if i missed u first you do love me 
ham,wait  ltgt  min
ham,much better now thanks lol
ham,oh k  i will come tomorrow
ham,yetunde im sorry but moji and i seem too busy to be able to go shopping can you just please find some other way to get what you wanted us to get please forgive me you can reply free via yahoo messenger
ham,multiply the numbers independently and count decimal points then for the division push the decimal places like i showed you
ham,but thats on ebay it might be less elsewhere
ham,i felt sonot any conveying reason ese he what about me
ham,then any special there
ham,aiyar hard  type u later free then tell me then i call n scold n tell u
ham,nobut heard abt tat
ham,wherres my boytoy  
ham,thanks love but am i doing torch or bold
ham,customer place i will call you
ham,the lay man just to let you know you are missed and thought off do have a great day and if you can send me bimbo and ugos numbers ill appreciate safe
ham,ive sent my wife your text after we buy them shell tell you what to do so just relax we should go get them this wkend
spam,get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to  optout txt eng stop box wwx 
spam,uve been selected to stay in  of  top british hotels  for nothing holiday valued at  dial  to claim  national rate call bx swss
ham,hi my engagement has been fixd on  ltgt th of next month i know its really shocking bthmm njan vilikkamt ws al of a sudn
ham,cheers for the card  is it that time of year already
ham,ard  like dat lor we juz meet in mrt station then _ dun haf to come out
ham,may i call you later pls
spam,someone has contacted our dating service and entered your phone becausethey fancy you to find out who it is call from a landline  pobox wrg p
ham,hey something came up last min think i wun be signing up tmr hee
ham,under the sea there lays a rock in the rock there is an envelope in the envelope there is a paper on the paper there are  words 
ham,feel yourself that you are always happy slowly it becomes your habit amp finally it becomes part of your life follow it happy morning amp have a happy day
ham,where can download clear movies dvd copies
ham,did you see that film
ham,ill talk to the others and probably just come early tomorrow then
ham,theres someone here that has a year  ltgt  toyota camry like mr olayiwolas own mileage is  ltgt kits clean but i need to know how much will it sell for if i can raise the dough for it how soon after landing will it sell holla back
ham,i realise you are a busy guy and im trying not to be a bother i have to get some exams outta the way and then try the cars do have a gr day
ham,have a safe trip to nigeria wish you happiness and very soon company to share moments with
ham,it so happens that there r waxsto do wat you want she can come and ill get her medical insurance and shell be able to deliver and have basic care im currently shopping for the right medical insurance for her so just give me til friday morning thats when ill see the major person that can guide me to the right insurance
ham,aiyah ok wat as long as got improve can already wat
ham,you should get more chicken broth if you want ramen unless theres some i dont know about
ham,u buy newspapers already
ham,im nt goin got somethin on unless they meetin  dinner lor haha i wonder who will go tis time
ham,free any day but i finish at  on mon n thurs
ham,"when i was born god said \oh no another idiot\"" when you were born"
ham,ha then we must walk to everywhere cannot take tram my cousin said can walk to vic market from our hotel 
ham,hey i will be late ah meet you at 
ham,tomarrow final hearing on my laptop case so i cant
ham,im in class will holla later
ham,very hurting n meaningful lines ever \i compromised everything for my love
spam,u can win  of music gift vouchers every week starting now txt the word draw to  tscs wwwidewcom skillgame winaweek age ppermesssubscription
ham,if you are not coughing then its nothing
ham,oh godtaken the teethis it paining
ham,that said can you text him one more time
ham,yessura in sun tvlol
ham,okay no no just shining on that was meant to be signing but that sounds better
ham,you have to pls make a note of all shes exposed to also find out from her school if anyone else was vomiting is there a dog or cat in the house let me know later
ham,cool text me when youre parked
ham,den only weekdays got special price haiz cant eat liao cut nails oso muz wait until i finish drivin wat lunch still muz eat wat 
ham,ok u enjoy ur shows
ham,feel yourself that you are always happy slowly it becomes your habit amp finally it becomes part of your life follow it happy morning amp have a happy day
ham,got meh when
ham,lol nah wasnt too bad thanks its good to b home but its been quite a reality check hows ur day been did u do anything with website
ham,you sure your neighbors didnt pick it up
ham,havent
spam,wan win a meetgreet with westlife  u or a m they are currently on what tour unbreakable untamed unkempt text  or  to  cost p std text
ham,ok
ham,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employers paperwork not cool at all please do not contact me again or i will report you to your supervisor
ham,kyou are the only girl waiting in reception ah
ham,"superb thought \be grateful that u dont have everything u want that means u still have an opportunity to be happier tomorrow than u are today\"""""
ham,oh right ok ill make sure that i do loads of work during the day  got a really nasty cough today and is dry n shot so that should really help it
spam,as a sim subscriber you are selected to receive a bonus get it delivered to your door txt the word ok to no  to claim pmsg exp apr
ham,what time you thinkin of goin
ham,nutter cutter ctter cttergg cttargg ctargg ctagg ie you
ham,there is no sense in my foot and penis
ham,yeah whatever lol
ham,hi darlin i finish at  do u   pick me up or meet me text back on this number luv kate xxx
ham,buzzzz grins did i buzz your ass buzz your chest  buzz your cock  where do you keep your phone  is the vibrator on  did you feel it shake 
ham,ill be at yours in about  mins but look out for me
ham,and whenever you and i see we can still hook up too
ham,dear good morning now only i am up
ham,ok ill do you right later
ham,no thank you youve been wonderful
ham,me i dont know again oh
ham,maybe if you woke up before fucking  this wouldnt be a problem
ham,not to worry im sure youll get it
ham,pls accept me for one day or am begging you change the number
ham,dizzamn aight ill ask my suitemates when i get back
ham,oh ok
ham,you still at grand prix
ham,hey for me there is no leave on friday wait i will ask my superior and tell you
ham,dear i have reache room
ham,dear all as we know  ltgt th is the  ltgt th birthday of our loving gopalettan we are planning to give a small gift on that day those who like to participate in that you are welcome please contact our admin team for more details
